ax,ay,az,gx,gy,gz
-0.078735,-0.031006,0.984375,1.831055,1.831055,1.831055
-0.079102,-0.03186,0.982544,1.953125,1.953125,1.953125
-0.078857,-0.031738,0.986816,1.831055,1.831055,1.831055
-0.080322,-0.030273,0.986572,1.953125,1.953125,1.953125
-0.078003,-0.030518,0.984375,1.831055,1.831055,1.831055
-0.077637,-0.03125,0.987793,1.89209,1.89209,1.89209
-0.077393,-0.031006,0.985596,1.77002,1.77002,1.77002
-0.079346,-0.031494,0.98584,2.01416,2.01416,2.01416
-0.078613,-0.032104,0.984985,1.89209,1.89209,1.89209
-0.079712,-0.03064,0.986328,1.831055,1.831055,1.831055
-0.080078,-0.030884,0.984131,1.89209,1.89209,1.89209
-0.078369,-0.032227,0.983643,2.075195,2.075195,2.075195
-0.078247,-0.031494,0.985474,1.831055,1.831055,1.831055
-0.078735,-0.03125,0.985352,1.953125,1.953125,1.953125
-0.078369,-0.03064,0.984131,1.525879,1.525879,1.525879
-0.077393,-0.03125,0.983887,1.953125,1.953125,1.953125
-0.078247,-0.031128,0.984863,2.01416,2.01416,2.01416
-0.076782,-0.031738,0.984619,1.77002,1.77002,1.77002
-0.077148,-0.031616,0.984497,1.77002,1.77002,1.77002
-0.078735,-0.031738,0.983276,1.89209,1.89209,1.89209
-0.07959,-0.030884,0.984253,1.953125,1.953125,1.953125
-0.079712,-0.031738,0.983398,1.89209,1.89209,1.89209
-0.080078,-0.031738,0.983765,1.77002,1.77002,1.77002
-0.078979,-0.031494,0.984741,1.708984,1.708984,1.708984
-0.079102,-0.03186,0.983643,1.586914,1.586914,1.586914
-0.078247,-0.030762,0.985596,1.77002,1.77002,1.77002
-0.078613,-0.031006,0.984985,1.89209,1.89209,1.89209
-0.078003,-0.032104,0.984253,1.647949,1.647949,1.647949
-0.079468,-0.031616,0.984375,1.953125,1.953125,1.953125
-0.07959,-0.03125,0.984497,1.953125,1.953125,1.953125
-0.079346,-0.030884,0.984253,1.647949,1.647949,1.647949
-0.078857,-0.031372,0.984741,1.831055,1.831055,1.831055
-0.078613,-0.03186,0.983521,1.77002,1.77002,1.77002
-0.078979,-0.032227,0.983765,1.831055,1.831055,1.831055
-0.079102,-0.031738,0.984375,1.708984,1.708984,1.708984
-0.07959,-0.031494,0.983032,1.586914,1.586914,1.586914
-0.079346,-0.032104,0.985229,1.89209,1.89209,1.89209
-0.078491,-0.031494,0.984009,1.831055,1.831055,1.831055
-0.078003,-0.03186,0.984253,1.708984,1.708984,1.708984
-0.078857,-0.03125,0.985107,1.953125,1.953125,1.953125
-0.079346,-0.032837,0.984863,1.586914,1.586914,1.586914
-0.07959,-0.031006,0.985229,1.708984,1.708984,1.708984
-0.078857,-0.031982,0.983887,1.953125,1.953125,1.953125
-0.078979,-0.032715,0.984863,1.831055,1.831055,1.831055
-0.07959,-0.031128,0.984375,1.953125,1.953125,1.953125
-0.079956,-0.031738,0.986328,1.647949,1.647949,1.647949
-0.080322,-0.031982,0.984253,1.89209,1.89209,1.89209
-0.079468,-0.031982,0.983276,1.708984,1.708984,1.708984
-0.078003,-0.032471,0.983398,1.89209,1.89209,1.89209
-0.078735,-0.031006,0.984131,1.708984,1.708984,1.708984
-0.077393,-0.032227,0.984009,2.01416,2.01416,2.01416
-0.078003,-0.032959,0.983032,1.77002,1.77002,1.77002
-0.078979,-0.031494,0.983521,2.01416,2.01416,2.01416
-0.079834,-0.03186,0.983887,1.89209,1.89209,1.89209
-0.079102,-0.032104,0.984863,1.647949,1.647949,1.647949
-0.078613,-0.032471,0.983276,1.89209,1.89209,1.89209
-0.077759,-0.031494,0.98291,1.89209,1.89209,1.89209
-0.07959,-0.032349,0.982788,1.77002,1.77002,1.77002
-0.078857,-0.031006,0.983887,2.01416,2.01416,2.01416
-0.079102,-0.032227,0.983765,1.953125,1.953125,1.953125
-0.079346,-0.032471,0.983276,2.01416,2.01416,2.01416
-0.078491,-0.031494,0.983765,1.831055,1.831055,1.831055
-0.079102,-0.031006,0.983887,1.77002,1.77002,1.77002
-0.079956,-0.030884,0.984985,1.831055,1.831055,1.831055
-0.079712,-0.031616,0.983032,1.647949,1.647949,1.647949
-0.0802,-0.032227,0.983643,1.89209,1.89209,1.89209
