ax,ay,az,gx,gy,gz
-0.079346,-0.032715,0.984741,1.647949,1.647949,1.647949
-0.078613,-0.030396,0.984863,1.953125,1.953125,1.953125
-0.078979,-0.031494,0.985229,1.953125,1.953125,1.953125
-0.078979,-0.031494,0.985229,1.647949,1.647949,1.647949
-0.078369,-0.031738,0.984497,1.77002,1.77002,1.77002
-0.0802,-0.031494,0.984131,1.89209,1.89209,1.89209
-0.079102,-0.03125,0.985962,1.89209,1.89209,1.89209
-0.078735,-0.032104,0.985107,1.77002,1.77002,1.77002
-0.079712,-0.031372,0.984741,1.831055,1.831055,1.831055
-0.078125,-0.031616,0.983765,2.01416,2.01416,2.01416
-0.080566,-0.03064,0.984375,1.647949,1.647949,1.647949
-0.078247,-0.030884,0.98645,1.708984,1.708984,1.708984
-0.078491,-0.031494,0.984985,1.586914,1.586914,1.586914
-0.079468,-0.031372,0.985107,1.831055,1.831055,1.831055
-0.079102,-0.03125,0.984375,1.708984,1.708984,1.708984
-0.078613,-0.03125,0.985474,1.953125,1.953125,1.953125
-0.078979,-0.031616,0.984741,1.831055,1.831055,1.831055
-0.079956,-0.031982,0.984863,1.953125,1.953125,1.953125
-0.078979,-0.031006,0.985474,1.953125,1.953125,1.953125
-0.077637,-0.03186,0.984741,2.01416,2.01416,2.01416
-0.078369,-0.032593,0.984985,1.953125,1.953125,1.953125
-0.079834,-0.032349,0.983765,1.953125,1.953125,1.953125
-0.079712,-0.031494,0.984985,1.708984,1.708984,1.708984
-0.07959,-0.031616,0.983887,2.197266,2.197266,2.197266
-0.078979,-0.031738,0.984741,1.708984,1.708984,1.708984
-0.078125,-0.031616,0.985352,1.77002,1.77002,1.77002
-0.078247,-0.032227,0.984375,1.953125,1.953125,1.953125
-0.078979,-0.032349,0.985596,1.831055,1.831055,1.831055
-0.078369,-0.031372,0.984375,1.831055,1.831055,1.831055
-0.079712,-0.03064,0.984741,1.953125,1.953125,1.953125
-0.078247,-0.031738,0.984985,1.77002,1.77002,1.77002
-0.078979,-0.032227,0.983276,1.708984,1.708984,1.708984
-0.079346,-0.031616,0.984863,1.77002,1.77002,1.77002
-0.078735,-0.031128,0.985596,1.77002,1.77002,1.77002
-0.078613,-0.032104,0.98584,1.77002,1.77002,1.77002
